"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$13,127,015,539","0.84%","26.92","5.37","6.03"
"RHI","Robert Half","Common stocks","Large cap","Industrials","$13,083,083,782","1.32%","22.25","2.02","9.65"
"DISCA","Discovery Communications Inc Series A","Common stocks","Large cap","Communication Services","$13,074,768,788","0.00%","4.48","1.07","0.39"
"DISCK","Discovery Communications, Inc. - Series C","Common stocks","Large cap","Communication Services","$13,074,768,788","0.00%","8.64","1.07","0.75"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$13,051,952,387","0.00%","26.29","7.11","6.72"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$12,894,808,103","3.42%","13.90","1.55","3.82"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$12,869,891,619","4.18%","-10.16","0.72","0.63"
"CTXS","Citrix Systems Inc","Common stocks","Large cap","Information Technology","$12,731,078,799","1.09%","41.25","3.96","23.18"
"AAP","Advance Auto Parts Inc","Common stocks","Large cap","Consumer Discretionary","$12,719,293,996","2.14%","20.46","1.16","4.03"
"UHS","Universal Health Services Inc.","Common stocks","Large cap","Health Care","$12,669,548,928","0.54%","10.01","1.00","1.63"
"WRK","Westrock","Common stocks","Large cap","Materials","$12,586,912,225","2.03%","14.42","0.65","1.07"
"BBWI","Bath & Body Works, Inc.","Common stocks","Large cap","Consumer Discretionary","$12,558,838,379","1.58%","9.73","4.36","-8.56"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$12,540,680,102","1.57%","23.70","3.59","3.47"
"HAS","Hasbro Inc","Common stocks","Large cap","Consumer Discretionary","$12,460,522,397","3.00%","28.96","1.94","4.10"
"CMA","Comerica Inc","Common stocks","Large cap","Financials","$12,410,535,387","2.84%","10.92","4.59","1.58"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$12,218,304,201","2.93%","23.02","2.49","1.76"
"FFIV","F5 Networks Inc","Common stocks","Large cap","Information Technology","$12,174,966,177","0.00%","36.75","4.57","5.15"
"HSIC","Henry Schein Inc","Common stocks","Large cap","Health Care","$11,899,740,400","0.00%","18.96","0.96","3.49"
"PHM","Pultegroup Inc","Common stocks","Large cap","Consumer Discretionary","$11,773,622,861","1.22%","6.21","0.85","1.61"
"FBHS","Fortune Brands Home And Security","Common stocks","Large cap","Industrials","$11,577,900,692","1.22%","15.10","1.51","3.81"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$11,555,650,912","3.57%","20.65","9.91","1.92"
